feature,importance
num__duration,0.06392272905316569
num__num_voted_users,0.061521425629767104
num__num_critic_for_reviews,0.05968142129225739
num__actor_1_facebook_likes,0.0471733506842939
num__num_user_for_reviews,0.04583520758388465
num__director_facebook_likes,0.04259566132917346
num__cast_total_facebook_likes,0.04222950386635966
num__gross,0.04214897984799162
num__movie_facebook_likes,0.036204612413294
num__actor_2_facebook_likes,0.03538345605248347
num__actor_3_facebook_likes,0.03525259102804078
num__budget,0.034628664900497784
num__profit,0.03407682906996807
num__title_year,0.03377405818946907
num__roi,0.032464606252536096
num__movie_age,0.030218699276900726
num__title_length,0.02731134021539374
cat__actor_1_name_infrequent_sklearn,0.02295090802638225
num__facenumber_in_poster,0.017046134691435236
num__genre_count,0.01475747372273095
cat__content_rating_R,0.01345509700481795
num__aspect_ratio,0.012476408478698093
cat__director_name_infrequent_sklearn,0.0118881152688489
cat__country_USA,0.010078139915712474
cat__main_genre_Drama,0.008437688647036656
cat__content_rating_PG-13,0.007989191734915494
cat__genres_infrequent_sklearn,0.007854965993705491
cat__content_rating_G,0.007013220979343926
cat__main_genre_Action,0.00693870116875418
cat__main_genre_Comedy,0.00617651912108507
cat__genres_Comedy,0.005873326171699681
cat__country_UK,0.005737409196851938
cat__main_genre_Horror,0.005281624379496095
cat__content_rating_PG,0.004953554205600393
cat__actor_2_name_infrequent_sklearn,0.004020426445581557
cat__main_genre_Biography,0.003991325771557932
cat__language_English,0.0039368735928284335
cat__genres_Drama,0.0037813204629479303
cat__main_genre_Adventure,0.00358618218375027
cat__main_genre_Crime,0.003585133479141622
num__keyword_count,0.0033838689603596273
cat__actor_1_name_Alyson Hannigan,0.003339469495485047
cat__actor_2_name_Carmen Electra,0.0032355553391281034
cat__director_name_Woody Allen,0.0029348324359770774
cat__country_India,0.0027833976817116446
cat__plot_keywords_,0.0027043134224325432
cat__color_Black and White,0.002667659718537403
cat__genres_Comedy|Romance,0.0023027823727218297
cat__genres_Horror,0.0022342920939620835
cat__main_genre_Documentary,0.002160459099149071
cat__color_Color,0.0021308848509997737
cat__country_South Korea,0.002083517998929803
cat__genres_Comedy|Family|Fantasy,0.0020815722252636726
cat__country_France,0.002059409979506603
cat__plot_keywords_infrequent_sklearn,0.0020077195757412162
cat__genres_Documentary|Music,0.0019924521110440472
cat__genres_Drama|History|War,0.001978012600560795
cat__main_genre_infrequent_sklearn,0.001912944585093799
cat__actor_3_name_infrequent_sklearn,0.0018919418496718041
cat__genres_Comedy|Drama,0.0018850791662773155
cat__country_Canada,0.0018464045927687636
cat__content_rating_Not Rated,0.0016448162292715552
cat__genres_Comedy|Drama|Romance,0.001618965511118354
cat__genres_Documentary,0.0016080612217434886
cat__genres_Drama|Romance,0.0015531608024285262
cat__genres_Comedy|Musical|Romance,0.0014497891936009633
cat__genres_Comedy|Sport,0.0014259253809295591
cat__language_Hindi,0.001336082810739387
cat__genres_Adventure|Animation|Comedy|Family|Fantasy,0.001220102035924345
cat__main_genre_Sci-Fi,0.0011099823595314819
cat__main_genre_Family,0.0011093393100845795
cat__genres_Comedy|Music,0.0010583374069463684
cat__genres_Adventure|Comedy,0.001032768775388983
cat__genres_Comedy|Crime|Romance,0.0010085342797777927
cat__genres_Drama|Music|Romance,0.000961088584317211
cat__actor_3_name_John Heard,0.0009537027823446764
cat__genres_Horror|Thriller,0.0009183374187969134
cat__genres_Action|Adventure|Sci-Fi,0.0009158862785931471
cat__actor_2_name_Udo Kier,0.0008812679047714296
cat__genres_Action|Adventure|Fantasy|Sci-Fi|Thriller,0.0008590188352390522
cat__country_Italy,0.0008335194421167004
cat__genres_Adventure|Family,0.0007861117649442632
cat__country_Germany,0.0007053581956244386
cat__actor_2_name_Thomas Kretschmann,0.000702524003274122
cat__actor_2_name_Morgan Freeman,0.0006996936069959092
cat__language_French,0.0006590043438278771
cat__content_rating_Approved,0.0005669250061936308
cat__genres_Crime|Drama|Thriller,0.000564711913153429
cat__main_genre_Animation,0.000528866835033155
cat__genres_Crime|Drama|Mystery|Thriller,0.0004872542683122068
cat__country_infrequent_sklearn,0.0004673368136092673
cat__genres_Horror|Mystery|Thriller,0.00045694462845653245
cat__genres_Comedy|Crime,0.00044338240710096446
cat__genres_Action|Adventure|Fantasy,0.00041706224353904776
cat__content_rating_Unrated,0.00036511125993933443
cat__genres_Action|Crime|Drama|Thriller,0.0003643882885177204
cat__genres_Drama|Thriller,0.0003552360238377533
cat__content_rating_TV-14,0.00031149288031704335
cat__genres_Action|Adventure|Sci-Fi|Thriller,0.0003109597195054199
cat__genres_Action|Thriller,0.0002809495110581851
cat__genres_Action|Crime|Thriller,0.0002792238256677271
cat__actor_1_name_Robert Pattinson,0.0002773017667710765
cat__genres_Action|Adventure|Thriller,0.000270503086948204
cat__country_Australia,0.0002469746645876233
cat__genres_Comedy|Horror,0.00024606593083618754
cat__language_Spanish,0.00021566459586543258
cat__genres_Drama|Horror|Mystery|Thriller,0.0002106598179584337
cat__language_infrequent_sklearn,0.00020698070757749472
cat__main_genre_Fantasy,0.0002029797579366319
